name,year,selling_price,km_driven,seats,max_power_bhp,Mileage,Engine (CC),fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
Maruti,2014,0.22345628634233486,2.228500232482826,5,-0.014341278248596837,1.666277524143463,0.3012699588588386,True,False,False,True,False,True,False,False,False,False
Hyundai,2010,-0.8827323796256391,1.7245163218717134,5,0.9860412806355696,1.3343375818158598,0.9369108167613969,True,False,False,True,False,True,False,False,False,False
Hyundai,2017,0.17429234563264712,-0.5093583089451088,5,0.47709665380324984,-1.0390330058265114,0.08223155512214625,False,False,True,True,False,True,False,False,False,False
Toyota,2011,-0.2681831207545425,0.7165485006494888,5,-0.44575625676739394,1.823948996749076,0.7994749555932761,True,False,False,True,False,True,False,False,False,False
Ford,2013,-1.0056422313998585,2.868696010826671,5,-0.38323234683713353,-1.1552119856411733,0.9497954287459082,True,False,False,True,False,True,False,False,False,False
Hyundai,2012,0.4692759898907735,-0.29141932057273584,5,0.9860412806355696,1.3343375818158598,0.9369108167613969,True,False,False,True,False,True,False,True,False,False
Maruti,2002,-1.2514619349482972,0.4441247651840227,5,-1.74625358331681,-1.4041669423868772,-1.6400115801408663,False,False,True,True,False,True,False,True,False,False
Hyundai,2016,1.3542269226651529,0.9889722361149549,5,0.9066359150241391,0.952606648139114,0.9369108167613969,True,False,False,True,False,True,False,False,False,False
Mahindra,2011,-1.1334684772450465,0.9889722361149549,5,-0.6333279865581751,-0.32536212982216234,1.216077409759142,True,False,False,True,False,True,False,True,False,False
Maruti,2012,0.9609153969876508,0.22618577681164978,5,0.9110125887192569,0.08956279808734316,0.3012699588588386,True,False,False,True,False,True,False,False,False,False
Tata,2018,0.4692759898907735,-0.7817820444105749,5,0.5990182781672578,-0.9062570288954694,0.09082129644515378,False,False,True,True,False,True,False,False,False,False
Maruti,2016,0.8380055452134315,-0.5093583089451088,5,0.5546263021167724,0.006577812505440877,0.08223155512214625,False,False,True,True,False,True,False,False,False,False
Maruti,2018,2.1900139147298443,0.008246788439276901,5,1.8144830872115196,-0.6158095793588173,1.2203722804206458,False,False,True,False,False,True,False,False,False,False
Tata,2011,-0.6860766167868882,1.5338197070458872,5,0.9110125887192569,-0.2257801471238802,0.3012699588588386,True,False,False,True,False,True,False,False,False,False
Hyundai,2011,-1.054806172109546,1.261395971580421,5,0.2920258804096795,-0.8564660375463299,0.08223155512214625,False,False,True,True,False,True,False,False,False,True
Hyundai,2013,0.10054643456811552,-0.10072270574690954,5,0.908511632322047,-0.10130266875102974,0.9369108167613969,True,False,False,True,False,True,False,False,False,False
Maruti,2019,1.2067351005360896,-0.9179939121433079,5,0.5546263021167724,0.006577812505440877,0.08223155512214625,False,False,True,True,False,True,False,False,False,False
Volkswagen,2016,0.6659317527295244,-0.6455701766778419,5,2.142420994795736,0.5044877259968488,1.3749876242347816,True,False,False,True,False,True,False,False,False,False
